index,axis-0,axis-1,axis-2,axis-3
0.0,0.0,27.53045139510995,33.04340202089703,21.544139580782925
1.0,0.0,28.656703650529515,33.724271356827565,21.41344054680773
2.0,0.0,27.90638595535291,35.00127815926132,21.46408327826991
3.0,0.0,27.433316678647024,36.52465081984267,21.60634177863634
4.0,0.0,27.515302270800554,38.05030547405094,21.754015290966585
5.0,0.0,28.300218093161156,39.14703618392316,21.935960685091477
6.0,0.0,30.392476206644602,27.3776270090515,22.529220124242507
7.0,0.0,31.263699182567308,28.1414409298858,22.445024359808393
8.0,0.0,29.50737325340487,29.264904443104236,22.11130542483277
9.0,0.0,30.916565814281814,29.539122085825074,22.04618431557273
10.0,0.0,29.863812038013123,30.40715658399176,21.791316690951657
11.0,0.0,27.30206106962078,31.06744531985617,21.944215752391102
12.0,0.0,30.150037053243164,31.76307904117441,21.5572071169287
13.0,0.0,26.527790763330525,32.35471672977911,21.97105868936557
14.0,0.0,29.821359616343095,33.007529669155446,21.514246088162245
15.0,0.0,26.447651890787586,33.85239573566424,21.823721111189865
16.0,0.0,29.322728252373047,35.9925220088984,21.487022036906342
17.0,0.0,26.058940236986963,36.743175091168666,21.933563607441954
18.0,0.0,28.982657474186365,37.317237536521326,21.59770971120871
19.0,0.0,29.479361506015273,38.942982067784534,21.860645392705276
20.0,0.0,26.78402530144847,39.161543512244684,22.082211506625967
21.0,0.0,27.87230804447976,40.60908092978955,22.261064863692514
22.0,0.0,29.099813467599223,40.89734063128734,22.360626385563236
23.0,0.0,31.72919878680902,26.621215259428485,22.907647173951528
24.0,0.0,33.39938954377503,27.615173216368422,22.802716064234822
25.0,0.0,32.431677428735604,28.939126252008773,22.344673545621976
26.0,0.0,27.91255791806223,29.48236802841012,22.244545487601734
27.0,0.0,31.751861890280598,30.56235867545339,21.956530948714718
28.0,0.0,31.70130876044049,31.892005274149085,21.82281659592689
29.0,0.0,25.318924063041283,32.773161502056894,22.255648335189097
30.0,0.0,31.350656048321394,33.15537899769921,21.604714529990286
31.0,0.0,30.453080073755658,34.552886666545945,21.44706143099129
32.0,0.0,25.294482977476147,35.55427468793475,22.15485787698292
33.0,0.0,30.61822022655637,36.57728605870524,21.67413284562047
34.0,0.0,31.352678385478015,38.36621773825784,22.088738263321545
35.0,0.0,30.45860708147361,39.76878782197754,22.257515657548126
36.0,0.0,26.025273155139985,40.25141086509458,22.53685366241
37.0,0.0,28.275204009921133,27.943362566423538,22.654082855525296
38.0,0.0,26.084513093502057,29.928151081810135,22.61754059749264
39.0,0.0,33.53776897592319,31.071358332761026,22.241957853720496
40.0,0.0,32.60580905806204,33.3260428571775,21.931164457490514
41.0,0.0,24.479147406514524,34.2532434550593,22.465447494839196
42.0,0.0,31.94027310383925,35.48329828123374,21.883877099512045
43.0,0.0,24.791344989319295,36.8123309464592,22.433004264293068
44.0,0.0,24.99496734686665,38.35691393556374,22.434209351046583
45.0,0.0,31.647371618575118,39.73976803268553,22.528889041536775
46.0,0.0,30.79019560749144,40.95900833525241,22.697170145514356
47.0,0.0,27.32140527065306,41.89869620565308,22.83474062348892
48.0,0.0,32.07609920290379,25.40184468415901,23.513618784732035
49.0,0.0,30.85172676590918,25.76275016687183,23.35503456296191
50.0,0.0,28.747455013523517,26.7583045216261,23.04204932821448
51.0,0.0,34.30640525991185,29.87424207721239,22.70939994249673
52.0,0.0,24.812858690077064,31.019334906930816,22.80939679580427
53.0,0.0,34.38549716278086,33.08115759467439,22.470891614057894
54.0,0.0,33.67111838115433,34.71946023847439,22.251581882739867
55.0,0.0,34.69731935076895,35.30950738880996,22.81581277153106
56.0,0.0,33.676922196391004,36.399706519850184,22.477633735033784
57.0,0.0,32.13635149316751,36.861759016501146,22.037889599925446
58.0,0.0,32.91965597978545,37.985591719112186,22.535749085821266
59.0,0.0,24.447043752959097,40.094909077761926,23.031527641114884
60.0,0.0,25.051254479947147,41.23257994137354,23.179795354637566
61.0,0.0,25.893791269515592,42.104264726094556,23.252793465782794
62.0,0.0,29.15969925910967,42.59669762261307,23.258825247739807
63.0,0.0,25.9536219828955,28.702381155864984,23.089633966560015
64.0,0.0,35.079016244630644,31.34871976962167,22.823629392532137
65.0,0.0,23.70942496326015,32.6532581671877,23.059942927680158
66.0,0.0,23.16191845976577,35.641400165717585,23.118006399886433
67.0,0.0,23.071424350988316,37.830115701025534,23.206982227485582
68.0,0.0,34.06141889664834,37.73654283980115,22.90184940670995
69.0,0.0,32.012266032696196,41.049758531036666,23.101176430188517
70.0,0.0,30.6764032095932,42.46759051037386,23.33380389772267
71.0,0.0,30.021698163829072,24.930936141927024,23.868582441287543
72.0,0.0,34.215110400200295,25.850621267919134,23.872354959364127
73.0,0.0,27.124116096657595,26.54885214712932,23.66440707340023
74.0,0.0,35.36657492955305,28.16252539294719,23.400196470373054
75.0,0.0,22.890637734722226,33.5510446799519,23.332420736537255
76.0,0.0,33.26339432868647,40.253035255481976,23.442405114581124
77.0,0.0,23.175900295976312,40.68538654572239,23.85219404631167
78.0,0.0,23.889161964823224,41.882669022914705,23.958304574021113
79.0,0.0,26.929570998804483,43.00813196270693,23.509355149771906
80.0,0.0,35.87195550212759,26.997647162300304,23.95918616821527
81.0,0.0,36.33082417305141,30.162241083289434,23.543816089355573
82.0,0.0,23.3438118061981,31.071778552416326,23.59090072426608
83.0,0.0,36.01554024967096,34.86594555971102,23.46899537589783
84.0,0.0,35.91942828021442,36.725986068400516,23.74777228973757
85.0,0.0,22.77793404525144,39.517821923795275,23.728560245547783
86.0,0.0,33.14130486991307,41.54738808152481,23.78644742015132
87.0,0.0,32.60507859989478,42.70879332176366,24.120896323940155
88.0,0.0,25.871660588302976,43.52166641592837,24.025441491064157
89.0,0.0,28.768338807835317,43.931170049861734,23.92665541860673
90.0,0.0,30.74138220717366,43.58180935481555,24.03612882696636
91.0,0.0,31.516133322609708,24.32183148398385,24.245487782525093
92.0,0.0,33.389972521953815,24.35985741538477,24.534044966742137
93.0,0.0,28.909911828389713,24.66902237662131,24.267532683565996
94.0,0.0,36.20128729111935,25.867708969077736,24.632860097561203
95.0,0.0,25.58270677352747,26.715882424918213,24.116769940595294
96.0,0.0,37.157793511394864,27.919619390659285,24.40756916545671
97.0,0.0,23.91323004838163,28.94037461790629,23.97247566369618
98.0,0.0,36.477951875183436,33.21228182489879,23.563068450080088
99.0,0.0,21.629204289942592,38.27695445450613,24.092561457311213
100.0,0.0,34.438873311845,39.79997171851765,23.864274689910705
101.0,0.0,24.304753585297586,43.294632619294745,24.498858837352625
102.0,0.0,27.035293688313182,44.01171670082103,24.22419924211866
103.0,0.0,34.64796624336099,24.5812978147722,24.69473993370618
104.0,0.0,26.366685473698833,25.580531160969418,24.397487553384604
105.0,0.0,24.402774435473876,27.73616678110477,24.252395225284253
106.0,0.0,37.18735759397562,31.56790960017395,24.051295709311592
107.0,0.0,21.41194515584457,33.95395515460708,24.19812359649508
108.0,0.0,21.432595309579405,36.91449023774217,24.156471921583716
109.0,0.0,22.35943783752999,41.68037611902476,24.663808555842305
110.0,0.0,33.871364042093255,42.072851739252705,24.595180766884134
111.0,0.0,32.40627436939697,23.527528892656516,25.071880190721192
112.0,0.0,29.860149839176458,23.69960632568824,24.94182841455201
113.0,0.0,27.532969303575097,24.40524117465113,24.793316863105048
114.0,0.0,35.99358016525756,24.824028333311436,25.121601197104834
115.0,0.0,23.126686649007617,28.13381495520022,24.764085563614366
116.0,0.0,37.58800438864138,29.463612089166528,24.522019270109656
117.0,0.0,21.52517681532988,31.080984710607474,24.689958460460733
118.0,0.0,37.42302325991316,34.25904412048664,24.37304696631511
119.0,0.0,36.891895049628594,36.893970422789536,24.508215781746763
120.0,0.0,36.1123186603656,38.92052928255669,24.622809693363877
