,frame,time,stress_cell_nearest_pair_distance,stress_cell_nearest_pair_anisotropy
163,12,36,5.165825731666437,1.0501358827018263
164,12,36,0.0,0.0
165,12,36,10.35235504746579,0.7303872923193774
166,12,36,0.0,0.0
167,12,36,0.0,0.0
168,12,36,0.0,0.0
169,12,36,0.0,0.0
170,12,36,0.0,0.0
171,12,36,4.990529446026587,1.163190450718175
172,12,36,0.0,0.0
173,12,36,0.0,0.0
174,12,36,0.0,0.0
175,12,36,0.0,0.0
176,12,36,0.0,0.0
177,12,36,0.0,0.0
178,12,36,5.542123831139153,0.7674348975827305
179,12,36,4.990529446026587,1.163190450718175
180,12,36,6.837373956186269,1.0249470934757818
181,12,36,0.0,0.0
182,12,36,0.0,0.0
183,12,36,0.0,0.0
184,12,36,5.569476504893241,0.7520146811550854
185,12,36,0.0,0.0
186,12,36,0.0,0.0
187,12,36,0.0,0.0
188,12,36,0.0,0.0
189,12,36,0.0,0.0
190,15,45,0.0,0.0
191,15,45,0.0,0.0
192,15,45,7.415634622432577,0.5932427688264952
193,15,45,0.0,0.0
194,15,45,0.0,0.0
195,15,45,0.0,0.0
196,15,45,5.585325744239967,0.6702939257814976
197,15,45,0.0,0.0
198,15,45,5.525824000307783,0.6051489244310204
199,15,45,0.0,0.0
200,15,45,0.0,0.0
201,15,45,5.634622438752025,0.8895472576544463
202,15,45,5.542548623566708,0.8431771102620818
203,15,45,5.5607146104348955,0.9467439422620887
204,15,45,0.0,0.0
205,15,45,0.0,0.0
206,15,45,0.0,0.0
207,15,45,0.0,0.0
208,15,45,0.0,0.0
209,15,45,0.0,0.0
210,15,45,0.0,0.0
211,15,45,0.0,0.0
212,15,45,0.0,0.0
213,15,45,0.0,0.0
214,15,45,0.0,0.0
215,15,45,0.0,0.0
216,15,45,5.525824000307783,0.6051489244310204
217,15,45,7.226970259533307,1.06634337693013
218,15,45,5.542548623566708,0.8431771102620818
219,15,45,5.5607146104348955,0.9467439422620887
220,15,45,0.0,0.0
221,15,45,0.0,0.0
222,15,45,5.650248998950295,0.6915396203849898
223,15,45,0.0,0.0
224,15,45,0.0,0.0
225,15,45,0.0,0.0
226,15,45,0.0,0.0
227,15,45,0.0,0.0
228,18,54,0.0,0.0
229,18,54,0.0,0.0
230,18,54,7.414255396408861,0.625662887445966
231,18,54,0.0,0.0
232,18,54,0.0,0.0
233,18,54,0.0,0.0
234,18,54,5.578463832713461,0.6030539956990166
235,18,54,0.0,0.0
236,18,54,5.519867886252331,0.6199241294436401
237,18,54,0.0,0.0
238,18,54,0.0,0.0
239,18,54,5.20206683610331,1.0032003448666145
240,18,54,0.0,0.0
241,18,54,5.203457876191357,0.9293659689539346
242,18,54,0.0,0.0
243,18,54,0.0,0.0
244,18,54,0.0,0.0
245,18,54,0.0,0.0
246,18,54,0.0,0.0
247,18,54,4.975241920321343,1.2308559889107056
248,18,54,0.0,0.0
249,18,54,5.193602773804729,1.0862876267092998
250,18,54,0.0,0.0
251,18,54,0.0,0.0
252,18,54,0.0,0.0
253,18,54,0.0,0.0
254,18,54,5.519867886252331,0.6199241294436401
255,18,54,4.975241920321343,1.2308559889107056
256,18,54,6.780622246254167,0.9243690395391438
257,18,54,0.0,0.0
258,18,54,0.0,0.0
259,18,54,0.0,0.0
260,18,54,5.621165722380451,0.7081729390735942
261,18,54,0.0,0.0
262,18,54,0.0,0.0
263,18,54,0.0,0.0
264,18,54,0.0,0.0
265,18,54,0.0,0.0
266,21,63,0.0,0.0
267,21,63,0.0,0.0
268,21,63,0.0,0.0
269,21,63,0.0,0.0
270,21,63,0.0,0.0
271,21,63,0.0,0.0
272,21,63,5.6071937115846,0.6360855770414027
273,21,63,0.0,0.0
274,21,63,5.506884662349412,0.6218059787150224
275,21,63,5.415681087294577,1.182604363012402
276,21,63,0.0,0.0
277,21,63,5.160944184251721,0.943122627913892
278,21,63,0.0,0.0
279,21,63,5.500962234818506,0.8033706449220495
280,21,63,0.0,0.0
281,21,63,0.0,0.0
282,21,63,0.0,0.0
283,21,63,0.0,0.0
284,21,63,0.0,0.0
285,21,63,5.043932839370481,1.264078272557301
286,21,63,0.0,0.0
287,21,63,0.0,0.0
288,21,63,0.0,0.0
289,21,63,0.0,0.0
290,21,63,0.0,0.0
291,21,63,0.0,0.0
