,frame,time,stress_cell_all_pair_distance,stress_cell_all_pair_anisotropy
0,0,0,9.224007378657914,0.4489169332490947
1,0,0,5.4745530715290505,0.7877003365364232
2,0,0,5.437910448830686,0.7618013751475596
3,0,0,19.38622431304131,1.019844431294342
4,0,0,19.531766302654454,0.7943640587417917
5,0,0,17.877350672870765,1.1495560987583517
6,0,0,6.980266875531993,0.9982597742301501
7,0,0,16.03165122364335,0.5192806361668867
8,0,0,19.881085410493796,0.8580640394542153
9,0,0,19.800864711179226,0.8321650780653517
10,0,0,5.6439367291461355,1.0902081342121341
11,0,0,5.500210603382915,0.8647277616595838
12,0,0,7.335626267350685,1.2199198016761437
13,0,0,18.37084895249799,1.0686234771479421
14,0,0,20.018476072602912,0.3375449625998601
15,0,0,13.552979334515108,0.6763283658871886
16,0,0,19.210541584112075,0.650429404498325
17,0,0,5.565026744875641,0.9084724606451076
18,0,0,10.264166131172274,0.6829920880925571
19,0,0,15.402470973451784,1.038184128109117
20,0,0,9.451943033429604,0.8868878035809156
21,0,0,8.637506478003282,0.19525474679030005
22,0,0,5.761877851700101,0.5340381500776286
23,0,0,14.285360196873274,0.508139188688765
24,0,0,9.96457801329107,0.7661822448355474
25,0,0,19.07866167509331,0.540701872282997
26,0,0,10.903290294358028,0.8958939122995571
27,0,0,13.77080674502621,0.7445975877713554
28,3,9,14.531869895349155,0.5612921647541307
29,3,9,8.908819187754219,0.5167347418819597
30,3,9,15.25837222850239,0.7372394885578244
31,3,9,10.460857280823024,0.5593245644513345
32,3,9,19.776457537012224,0.8487371433667019
33,3,9,5.466751542551348,0.6786736641529034
34,3,9,5.48129079679706,0.7419164571770667
35,3,9,5.466922499637907,0.6973590343048957
36,3,9,19.455474461065293,0.9178637809807604
37,3,9,19.575463577020763,0.7399488568742705
38,3,9,17.898792259572723,1.029361435789638
39,3,9,6.918342494251238,0.8592979565758394
40,3,9,19.79600758422096,0.8256288503472036
41,3,9,19.879941288689874,0.7810714274750326
42,3,9,5.594590379268336,1.0015761741508973
43,3,9,5.5564459234307915,0.8236612500444074
44,3,9,7.267717371425616,1.1130738289597748
45,3,9,18.227682033682676,0.9430103497459763
46,3,9,10.470039022850123,0.47682582690810227
47,3,9,5.725425608703096,0.43226840403593136
48,3,9,18.553214652165984,0.6527731507117961
49,3,9,13.561752817673243,0.4748582266053062
50,3,9,9.16796527868208,0.7642708055206736
51,3,9,15.351840410927402,0.594207326306875
52,3,9,13.44916607783904,0.6432914440779534
53,3,9,19.122195185912275,0.5987340212057825
54,3,9,5.635640069654516,0.8192387678816472
55,3,9,10.30198443989143,0.6413238437751573
56,3,9,15.391264914720217,0.9307364226905247
57,3,9,9.44956976613878,0.7606729434767261
58,3,9,5.7401538140012915,0.5157955242514581
59,3,9,14.31021625609153,0.47123810137928723
60,3,9,9.927460505654395,0.691742848055152
61,3,9,19.08409328725719,0.5138279239486621
62,3,9,10.92530294771274,0.8032405028640295
63,3,9,13.737504620431523,0.6331770236502309
64,6,18,7.535310363355825,0.5508117933206015
65,6,18,16.958180194384813,0.4251592272510927
66,6,18,7.415218769094641,0.658297274116345
67,6,18,16.519283005424995,0.5707278922472638
68,6,18,12.317073331407538,0.8812352974868114
69,6,18,12.377209666991996,0.7706414222508955
70,6,18,14.556514546410911,0.642868042744859
71,6,18,8.952804927456505,0.5172154766753502
72,6,18,15.339051377489051,0.7503535235406025
73,6,18,10.468377929798088,0.6627841416715213
74,6,18,19.81616748138278,0.9732915469110689
75,6,18,5.49929838912289,0.862697671675153
76,6,18,5.484268244641581,0.7856659791489576
77,6,18,5.4845358592151365,0.6600134130794488
78,6,18,19.456495131571398,0.8931514599447011
79,6,18,19.60593534169149,0.80558207807562
80,6,18,17.921578899411834,1.1160894833151676
81,6,18,6.88110024396019,1.0054956080792516
82,6,18,19.8513343310477,0.8426202748496253
83,6,18,19.86615515722646,0.7169677087801165
84,6,18,5.662902543710695,0.9501057556453688
85,6,18,5.5551068613267685,0.8625363737762877
86,6,18,7.310901212103588,1.1730437790158352
87,6,18,18.270986823249643,1.0624499037799193
88,6,18,5.664343830683688,0.508918091475216
89,6,18,10.653290549997863,0.38326552540570724
90,6,18,13.366580058251424,0.6164035722709595
91,6,18,19.021912902011444,0.5288341904018784
92,6,18,9.186154513878753,0.839341595641426
93,6,18,15.091163635654606,0.7287477204055101
94,6,18,10.516607929217782,0.5747149617167013
95,6,18,5.778835098463108,0.4490623956471925
96,6,18,18.638404531152734,0.6822004425124448
97,6,18,13.569571923521536,0.5946310606433637
98,6,18,9.215011065704935,0.9051384658829112
99,6,18,15.385795306984038,0.7945445906469953
100,6,18,13.5407614556046,0.697539862817568
101,6,18,19.154625671543627,0.5718872967480593
102,6,18,5.591037066954425,0.8050253436133115
103,6,18,10.296841202205478,0.7174559617442304
104,6,18,15.407461412727335,1.027963366983778
105,6,18,9.414404707792244,0.9173694917478621
106,9,27,14.534987892028155,0.5683600709051712
107,9,27,8.921103103629173,0.46735847403956016
108,9,27,15.47204229554006,0.6632014197647762
109,9,27,10.475675970841692,0.7012465907605951
110,9,27,19.91236151240816,0.766571796179867
111,9,27,5.5330033607238605,0.7306051319171503
112,9,27,5.021246315548875,0.5234035770356401
113,9,27,14.100044923470355,0.42240198017002906
114,9,27,10.858032133694236,0.6182449258952452
115,9,27,18.95103470510438,0.656290096891064
116,9,27,16.135118315104254,0.721615302310336
117,9,27,8.836330735905964,0.6856486380476192
118,9,27,5.545423205825711,0.7154056265890658
119,9,27,5.480719812723247,0.6144040297234549
